STATENAME,POPESTIMATE2022,POPESTIMATE2023
United States,333271411,334914895
Northeast Region,57026847,56983517
New England,15120739,15159777
Middle Atlantic,41906108,41823740
Midwest Region,68783028,68909283
East North Central,47098310,47146039
West North Central,21684718,21763244
South Region,128702030,130125290
South Atlantic,67445114,68225883
East South Central,19573370,19700801
West South Central,41683546,42198606
West Region,78759506,78896805
Mountain,25522359,25716830
Pacific,53237147,53179975
Alabama,5073903,5108468
Alaska,733276,733406
Arizona,7365684,7431344
Arkansas,3046404,3067732
California,39040616,38965193
Colorado,5841039,5877610
Connecticut,3608706,3617176
Delaware,1019459,1031890
District of Columbia,670949,678972
Florida,22245521,22610726
Georgia,10913150,11029227
Hawaii,1439399,1435138
Idaho,1938996,1964726
Illinois,12582515,12549689
Indiana,6832274,6862199
Iowa,3199693,3207004
Kansas,2936716,2940546
Kentucky,4511563,4526154
Louisiana,4588023,4573749
Maine,1389338,1395722
Maryland,6163981,6180253
Massachusetts,6982740,7001399
Michigan,10033281,10037261
Minnesota,5714300,5737915
Mississippi,2938928,2939690
Missouri,6177168,6196156
Montana,1122878,1132812
Nebraska,1968060,1978379
Nevada,3177421,3194176
New Hampshire,1399003,1402054
New Jersey,9260817,9290841
New Mexico,2113476,2114371
New York,19673200,19571216
North Carolina,10695965,10835491
North Dakota,778912,783926
Ohio,11759697,11785935
Oklahoma,4019271,4053824
Oregon,4239379,4233358
Pennsylvania,12972091,12961683
Rhode Island,1093842,1095962
South Carolina,5282955,5373555
South Dakota,909869,919318
Tennessee,7048976,7126489
Texas,30029848,30503301
Utah,3381236,3417734
Vermont,647110,647464
Virginia,8679099,8715698
Washington,7784477,7812880
West Virginia,1774035,1770071
Wisconsin,5890543,5910955
Wyoming,581629,584057
Puerto Rico,3220113,3205691
